dataset,forget_idx,point_type,n_affected,ari,nmi,time_retrain_ms,time_unlearn_ms
thin_bridge,60,border/noise,1,0.936464738097638,0.9198718114560114,0.0,4609.556436538696
thin_bridge,61,CORE,0,0.9671889001640527,0.9507398836066967,0.0,0.0
thin_bridge,62,CORE,1,1.0,1.0,2.5789737701416016,11.44099235534668
sparse_chain,0,border/noise,1,0.0,0.0,0.0,20.65443992614746
sparse_chain,5,CORE,2,0.33865030674846625,0.15687165612901247,0.0,6.976842880249023
sparse_chain,10,CORE,2,0.13451086956521738,0.049757699277896014,2.0079612731933594,8.929014205932617
sparse_chain,15,CORE,2,0.04472477064220184,0.01624445317813857,2.0096302032470703,6.636142730712891
sparse_chain,20,CORE,2,0.004204625087596356,0.003186245130680074,2.0096302032470703,2.0072460174560547
sparse_chain,25,CORE,2,-0.006160164271047228,3.7953132853674e-05,3.012418746948242,6.784677505493164
sparse_chain,30,CORE,2,0.009574468085106383,0.004847640978564417,2.0062923431396484,7.109880447387695
sparse_chain,35,CORE,2,0.057692307692307696,0.02068308801479201,2.007007598876953,9.312152862548828
sparse_chain,40,CORE,2,0.1623931623931624,0.06158737489123795,2.0067691802978516,7.636308670043945
sparse_chain,45,CORE,2,0.40963855421686746,0.20930134002735423,1.008749008178711,6.026506423950195
moons_critical_eps,16,CORE,0,1.0,1.0,3.9517879486083984,0.0
moons_critical_eps,45,CORE,0,0.9707438044193898,0.9474800978130109,0.0,0.0
moons_critical_eps,111,CORE,0,1.0,1.0,2.534151077270508,1.0006427764892578
moons_critical_eps,152,CORE,0,0.989945971269392,0.976048656319155,4.033327102661133,3.5610198974609375
moons_critical_eps,174,CORE,0,1.0,1.0,2.649068832397461,2.003908157348633
moons_critical_eps,187,CORE,0,1.0,1.0,2.9997825622558594,3.071308135986328
moons_critical_eps,0,CORE,0,1.0,1.0,4.565954208374023,0.0
moons_critical_eps,52,CORE,0,1.0,1.0,3.5247802734375,0.0
moons_critical_eps,59,CORE,0,1.0,1.0,0.0,10.103702545166016
moons_critical_eps,74,CORE,0,0.990047582574015,0.976081192852111,0.0,0.0
moons_critical_eps,93,CORE,0,1.0,1.0,0.0,12.654304504394531
moons_critical_eps,113,CORE,0,1.0,1.0,0.0,0.0
moons_critical_eps,179,CORE,0,1.0,1.0,15.719413757324219,1.0170936584472656
moons_critical_eps,180,CORE,1,0.9609858904688677,0.9360963616447,0.0,12.689352035522461
moons_critical_eps,10,CORE,0,1.0,1.0,4.520177841186523,2.007722854614258
hourglass_waist,80,CORE,0,0.9757045688950988,0.9503836384592944,3.9010047912597656,0.9977817535400391
hourglass_waist,81,border/noise,0,1.0,1.0,2.006053924560547,2.006053924560547
hourglass_waist,82,border/noise,1,0.9286531206135454,0.8965568679705277,3.358602523803711,0.0
hourglass_waist,83,CORE,0,0.9751081007086893,0.9502263143456586,3.2472610473632812,2.0198822021484375
sequential_deletion,0,CORE,0,1.0,0.0,0.0,0.0
sequential_deletion,1,CORE,0,1.0,0.0,0.0,0.0
sequential_deletion,2,CORE,0,1.0,0.0,0.0,0.0
sequential_deletion,50,CORE,0,1.0,0.0,0.0,0.0
sequential_deletion,51,CORE,0,1.0,0.0,0.0,0.0
sequential_deletion,52,CORE,0,1.0,0.0,0.0,0.0
sequential_deletion,25,CORE,0,1.0,0.0,0.0,0.0
sequential_deletion,75,CORE,0,1.0,0.0,0.0,0.0
sequential_deletion,10,CORE,0,1.0,0.0,0.0,0.0
sequential_deletion,60,CORE,0,1.0,0.0,0.0,0.0
